par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,taxa_treino,taxa_teste,r_treino,r_teste,p_treino,p_teste,p_bin_treino,p_bin_teste,periodos_ok,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,estavel_binaria,estavel_tradicional,borda_binaria,borda_tradicional
EURUSD,M5,piercing_nuvem,alta,londres,a_favor,228,0.5482456140350878,0.4833805829431775,0.6115118496351336,0.53475935828877,0.3667765406748639,0.5247524752475248,0.5669291338582677,0.14705882352941177,0.06153846153846154,0.1565637494143496,0.31345677141518913,0.6191503241370728,0.26225979316479964,True,0.09913793103448276,-0.08189655172413793,0.2801724137931034,0.14915241179982086,False,False,0.013486255746317788,False,False,False,False
USDCAD,M15,pin_bar,alta,pos_ny,a_favor,241,0.5892116182572614,0.5261719674966425,0.6494518839830632,0.53475935828877,0.051167952513677666,0.5793103448275863,0.6041666666666666,0.1095890410958904,0.07142857142857142,0.18186316471819228,0.3128339449021719,0.16053928493734018,0.1032665396699913,True,0.0942622950819672,-0.06588114754098306,0.2786885245901639,0.15495577512284153,False,False,0.05445225996849146,False,False,False,False
USDJPY,H1,rompimento,alta,londres,a_favor,801,0.5268414481897628,0.49221967935543837,0.5612069918587985,0.53475935828877,0.6862611369522358,0.5022935779816514,0.5561643835616439,0.11899313501144165,0.06400585173524798,0.043748453067526075,0.1964671817010899,0.9201800462762462,0.22159260319303883,True,0.09389321839158707,-0.004474948347962794,0.19613518249223125,0.03272564091540921,False,False,-0.00791791009900722,False,False,False,False
USDJPY,M15,pinca,baixa,pos_ny,a_favor,287,0.4738675958188153,0.4168270367165499,0.5315984729723984,0.53475935828877,0.983192973321373,0.47317073170731705,0.47560975609756095,0.10679611650485436,0.06097560975609756,0.14603021296513236,0.3515061984060292,0.9668097067795325,0.8817917852986017,True,0.09375,-0.0625,0.25,0.13614316684448255,False,False,-0.06089176246995465,False,False,False,False
USDCAD,M15,divergencia_rsi,alta,londres_ny,contra,426,0.4953051643192488,0.44808154404621153,0.5426126993360477,0.53475935828877,0.9534940205900377,0.4810606060606061,0.5185185185185185,0.08679245283018867,0.10429447852760736,0.16448998949635443,0.18013065453879948,0.964773053023068,0.6894798663683082,True,0.09345794392523364,-0.032885514018691275,0.2336448598130841,0.09087963792705331,False,False,-0.039454193969521156,False,False,False,False
USDCHF,M15,engolfo,baixa,ny,contra,860,0.5034883720930232,0.47013094365969244,0.5368147753015057,0.53475935828877,0.9693409858893715,0.5128676470588235,0.4873417721518987,-0.02717391304347826,0.3018867924528302,0.6750748010534007,0.00017464270708540254,0.8569098412151244,0.9594708804727047,True,0.09310344827586207,-0.0034482758620689655,0.18284482758620643,0.02881649692957123,False,False,-0.03127098619574675,False,False,False,False
EURUSD,M15,pinca,baixa,asia,contra,713,0.5371669004207573,0.5004663023483719,0.5734691534596564,0.53475935828877,0.46395708214969783,0.5393586005830904,0.5351351351351351,0.12716763005780346,0.058823529411764705,0.0524624830839232,0.21430669516299633,0.45407256100451787,0.5154834337519117,True,0.09166666666666666,-0.0125,0.2,0.04450412614390951,False,False,0.0024075421319873502,False,False,False,False
EURUSD,M15,rompimento,baixa,londres_ny,contra,500,0.474,0.43059811407349635,0.5177983516305045,0.53475935828877,0.9971523331308645,0.463519313304721,0.48314606741573035,-0.02194838711320853,0.18968428887109043,0.5942323766645716,0.01766460650681076,0.9875487808302919,0.9599728036220813,True,0.09103479448797099,-0.02852872092126461,0.22084477572810599,0.07893476601350706,False,False,-0.06075935828876999,False,False,False,False
USDJPY,M5,divergencia_rsi,alta,londres,a_favor,229,0.519650655021834,0.4551526459789228,0.5835002642269469,0.53475935828877,0.7004166621600765,0.4896551724137931,0.5714285714285714,0.0,0.25,0.5,0.06368894677663267,0.8793348206583829,0.2869625233791268,True,0.09090909090909091,-0.09090909090909091,0.2727272727272727,0.17020124721052574,False,False,-0.015108703266935919,False,False,False,False
USDCHF,H1,doji,alta,pos_ny,a_favor,273,0.6373626373626373,0.5787924972254981,0.6921206829010966,0.53475935828877,0.00038496850568646554,0.6506024096385542,0.616822429906542,0.06626506024096386,0.12844036697247707,0.27706908001547303,0.18020575862687707,0.0016422373574828727,0.05363896404405851,True,0.09090909090909091,-0.07272727272727272,0.26545454545454544,0.14899449821608837,False,False,0.10260327907386735,False,False,False,False
