par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,borda_binaria,borda_tradicional
EURUSD,M5,tres_velas,baixa,londres_ny,contra,317,0.49842271293375395,0.44373109346049766,0.5531521023594077,0.53475935828877,0.9119028620946,-0.013039409786316302,-0.16257212006669014,0.14018691588785046,0.565838885183692,False,False,-0.03633664535501602,False,False
EURUSD,M5,harami,baixa,londres_ny,a_favor,1480,0.5202702702702703,0.4947982299361508,0.5456373567926943,0.53475935828877,0.8735653856670178,-0.013274038697805737,-0.07836063435500658,0.05716689371546721,0.6420525776302022,False,False,-0.014489088018499685,False,False
EURUSD,M5,doji,baixa,londres,contra,2957,0.5049036185322963,0.4868882539394506,0.5229062590067274,0.53475935828877,0.9994624008791881,-0.013753773901375378,-0.062084870848708444,0.03656491110365649,0.7028813542542731,False,False,-0.02985573975647371,False,False
EURUSD,M5,pin_bar,alta,pos_ny,contra,782,0.5332480818414322,0.49820422336580383,0.5679668845801119,0.53475935828877,0.5483055323426008,-0.013801756587202008,-0.11166875784190715,0.07663111668757791,0.6088100841100706,False,False,-0.0015112764473377283,False,False
EURUSD,M5,estrela,baixa,ny,a_favor,492,0.49390243902439024,0.44994340173967334,0.5379559562239178,0.53475935828877,0.968577750462185,-0.013988304020027075,-0.14109732968498825,0.10889134033306977,0.5880607096849326,False,False,-0.04085691926437973,False,False
EURUSD,M5,pin_bar,baixa,ny,a_favor,1394,0.4935437589670014,0.4673523460778954,0.5197706571164827,0.53475935828877,0.9990588896246573,-0.015215633079202423,-0.08762444869515568,0.0600051942074662,0.6580594953516619,False,False,-0.04121559932176855,False,False
EURUSD,M5,pin_bar,baixa,ny,contra,1495,0.5030100334448161,0.4776899729509112,0.5283146647958199,0.53475935828877,0.993516611134228,-0.015510068945261685,-0.08303084410370092,0.0553434735728111,0.6659844685186709,False,False,-0.031749324843953874,False,False
EURUSD,M5,engolfo,baixa,ny,contra,2267,0.4869872077635642,0.46645136541137716,0.5075670761795914,0.53475935828877,0.9999976174607529,-0.0158750028949608,-0.07094094563295565,0.04127183555258867,0.7063972577335949,False,False,-0.04777215052520578,False,False
EURUSD,M5,inside_bar,baixa,londres_ny,contra,5796,0.5034506556245687,0.4905807065219853,0.5163160337223823,0.53475935828877,0.9999991523064206,-0.01624415062819564,-0.0528720393073717,0.01957638891441296,0.8111440694067642,False,False,-0.03130870266420127,False,False
EURUSD,M5,tres_velas,baixa,ny,a_favor,297,0.5185185185185185,0.4618202199338887,0.574743889424975,0.53475935828877,0.7323804511922866,-0.016310578777699695,-0.17185532437296622,0.15312463716914418,0.5795498725515684,False,False,-0.01624083977025148,False,False
EURUSD,M5,tres_velas,alta,londres_ny,contra,341,0.44574780058651026,0.3938876643956105,0.4988166521719668,0.53475935828877,0.9995888680054842,-0.017335264402318532,-0.1661001335211234,0.12829169190451992,0.5901236334853406,False,False,-0.08901155770225971,False,False
EURUSD,M5,rsi_extremo,baixa,londres,contra,1725,0.5159420289855072,0.4923495975076087,0.5394636145827107,0.53475935828877,0.9441135112429442,-0.018900343642611683,-0.08419243986254296,0.04639175257731959,0.7125610586144093,False,False,-0.018817329303262742,False,False
EURUSD,M5,divergencia_rsi,baixa,asia,a_favor,250,0.472,0.4110100538102362,0.5338374109615085,0.53475935828877,0.9798335381799033,-0.01968503937007874,-0.18503937007874016,0.15748031496062992,0.5879562503568074,False,False,-0.06275935828877,False,False
EURUSD,M5,cruzamento_emas,alta,londres_ny,contra,1530,0.5111111111111111,0.486067110871462,0.5360994564777745,0.53475935828877,0.969869852656183,-0.020008575941033117,-0.08925453981407024,0.05155449211773866,0.7117822139258012,False,False,-0.0236482471776589,False,False
